"meanPX","meanPY","meanPZ","varPX","varPY","varPZ","meanAngle","angleStdev","NEFF","elapsedTime"
2424.5,2379.26,1.48357,98.4575,36.1028,5.92536e-06,-87.9517,3.70468,1457.58,1.55409
2418.48,2390.9,1.3314,38.5227,14.0545,5.98478e-07,-85.8009,2.93978,13433.8,2.83113
2424.39,2353.9,1.25359,22.8877,7.2508,1.24822e-07,-79.5216,2.37917,11666.2,2.08231
2592,2315.02,1.13926,25.2004,28.0844,3.2097e-07,-73.2211,1.8013,13928.4,1.83767
2700.11,2244.47,1.08109,53.4376,49.927,1.54984e-07,-63.772,1.10381,12037.8,2.58435
2775.86,2202.16,1.04452,34.5004,29.1368,5.08566e-08,-56.2561,0.616751,15658.6,1.46628
2798.33,2160.47,0.986797,12.5978,10.5759,1.16432e-08,-54.2429,0.478963,23531.9,2.76101
2939.28,2122.67,1.0235,23.9786,16.9844,2.77468e-08,-57.2646,0.156361,22329,3.37116
2923.51,2091.17,1.01603,0.108808,0.0172727,6.65138e-06,-54.7045,0.168844,33374.3,3.43522
2961.99,2069.22,1.01723,12.2695,2.92841,1.31606e-08,-51.7645,0.131389,32926.8,3.83543
3043.39,2021.37,1.02346,71.7006,15.3084,7.79436e-08,-57.8201,0.0826892,34239.9,3.53484
3115.69,1986.85,1.04796,6.43839,8.02305,1.9723e-07,-61.4812,0.0551874,34308.3,3.29719
3045.59,2043.92,0.978378,18.9631,23.769,2.16126e-07,-56.8634,0.196106,24590.6,3.45983
3056.76,2082.64,0.872286,17.3353,18.5244,1.18459e-08,-62.5253,0.20855,18203.4,3.44878
3004.17,2133.95,0.771417,1.54071,1.78187,6.58788e-06,-66.1541,0.226117,16176.7,3.46106
3026.29,2143.17,0.67759,0.54956,2.47503,5.0639e-06,-75.0045,0.200577,17952.2,3.30856
3107.43,2071.49,0.618542,0.729019,4.83411,5.9537e-06,-84.923,0.109946,21692,3.19752
3081.64,2070.29,0.611628,1.12894,8.0595,1.06763e-05,-84.3413,0.118547,32834,2.81576
3119.55,2032.79,0.603274,5.59488,2.41947,3.66995e-06,-94.4193,0.0966688,33962.4,2.05016
3123.03,2031.49,0.604677,5.23354,2.2001,3.86795e-06,-101.121,0.140884,34514.1,2.78241
3113.58,2015.73,0.600126,4.39122,2.6584,3.04782e-06,-104.749,0.153924,35113.5,3.12001
3098.55,2037.69,0.594323,6.68753,2.23812,7.28983e-07,-106.687,0.217361,29908.8,2.98047
3070.51,2100.23,0.588753,2.20501,0.568733,2.71439e-07,-113.085,0.376991,29845.3,2.52479
2982.85,2455.47,0.565024,4.0743,0.17848,1.35664e-06,-134.417,1.15512,22483.8,2.25782
2865.61,2943.67,0.52058,2.23639,2.81007,7.77328e-07,173.026,1.75162,18869.4,3.09592
2811.17,3193.97,0.494717,1.86809,7.54212,1.30673e-06,143.135,1.48765,22552.7,3.15834
2847.64,2870.59,0.557949,4.98511,10.394,2.59067e-06,175.93,1.7747,26361.7,3.12252
2790.35,3151.61,0.539872,4.0645,16.5137,9.94683e-07,141.669,1.5837,23491.8,2.82182
2805.26,2985.61,0.588353,3.18534,12.2348,7.3118e-07,151.734,1.94987,22849.2,2.08688
2885.17,2519.58,0.669935,3.10114,2.85422,3.10687e-07,-160.397,1.78913,21186,2.53666
2970.81,1976.63,0.766164,12.1356,0.17501,2.46805e-07,-134.644,0.781736,16531.2,3.159
3002.12,1672.62,0.842909,9.79918,0.412758,5.8755e-09,-133.22,0.353947,18393.8,3.14793
2995.59,1492.05,0.888051,3.26561,0.394608,2.29615e-09,-142.077,0.187471,21828.6,3.4193
2970.98,1481.38,0.886136,10.7729,1.03744,4.96519e-10,-150.191,0.244391,31623.9,2.75581
2947.47,1424.25,0.887171,9.62037,1.13658,5.44297e-10,-155.706,0.211972,31208.9,2.16295
2891.39,1379.34,0.911891,0.0105512,0.0735503,3.3271e-07,-153.893,0.18615,28963.3,2.62439
2880.88,1400.54,0.91149,0.00424155,0.0848138,2.188e-07,-144.053,0.266628,20565.4,3.35317
2826.48,1408.38,0.934363,0.00147685,0.146719,2.4418e-07,-155.003,0.312471,23463.7,3.22619
2822.85,1430.06,0.925421,1.67993e-05,0.489107,4.25587e-07,-160.268,0.365899,25073.5,3.47983
2762.21,1612.98,0.912421,0.0203697,1.74915,2.30324e-07,-171.438,0.455075,16680.6,3.34893
2712.61,1835.77,0.882548,0.101968,5.71877,1.37275e-07,-177.035,0.577836,19200.4,3.34686
2664.6,1848.79,0.897219,0.142058,6.91337,2.65691e-07,-178.326,0.627867,21565.8,3.14716
2625.75,1307.69,0.954834,0.126137,0.0601498,9.4348e-07,-168.058,0.165863,23491.2,2.11779
2596.99,1432.93,0.946556,0.0777093,0.0458626,2.74379e-07,-169.294,0.254625,25298.9,2.73192
2519.42,1196.54,1.01854,0.218847,0.547268,7.19476e-07,-164.007,0.0831477,24640.7,3.41442
2471.67,1179.51,1.04917,0.313607,0.3199,1.01867e-06,-164.213,0.0660591,28906.4,3.54818
2458.83,1181.03,1.06114,0.438855,3.48655,3.55393e-06,-175.512,0.13975,18956.9,3.40712
2392.24,1154.19,1.0922,0.177003,1.29542,1.18672e-06,-174.232,0.0960944,24972.7,3.51612
2293.49,1140.82,1.12227,0.127694,0.760515,5.16807e-07,-179.833,0.0525672,19649.5,3.27162
2236.82,1148.85,1.15242,0.669077,2.33836,1.64073e-06,173.095,0.0434789,22732.5,2.93847
2164.99,1105.86,1.14358,0.186444,0.808269,4.33193e-07,158.923,0.0228931,23526,2.15882
2108.48,1097,1.13835,1.59213,1.42813,1.27401e-06,149.077,0.0166497,25470.1,3.25459
2035.22,1124.55,1.15392,1.35163,0.978942,1.17879e-06,137.078,0.0115645,23708.7,3.79924
2024.94,1148.23,1.13628,0.780197,1.61203,4.72333e-07,133.797,0.0118108,25881.9,3.70941
1975.41,1213.34,1.13899,0.509667,0.827554,2.47718e-07,129.486,0.00989347,28365,3.63795
1943.69,1232.21,1.12795,1.07282,1.57224,4.68879e-07,127.533,0.00868185,29367.8,3.66196
1904.61,1279.47,1.13968,1.32313,1.639,4.77109e-07,121.265,0.0114571,29291.8,3.6598
1901.55,1302.64,1.12104,0.0548983,0.00680417,1.74846e-07,121.211,0.0094235,27322.7,3.62978
1880.27,1382.72,1.14327,0.111411,0.021923,2.67393e-07,122.011,0.0115796,29235.6,3.00578
1851.86,1416.75,1.12498,0.000656713,0.0613053,6.2602e-08,124.958,0.0108179,24760.4,2.15287
1815.47,1489.05,1.13524,0.00262346,0.109201,7.11124e-08,123.861,0.0112866,28656.5,2.70011
1767.34,1510.73,1.11779,0.0170339,0.0526925,1.94761e-07,124.785,0.0119792,28308.2,3.59356
1710.76,1530.25,1.0915,0.0194026,0.138009,5.03041e-07,126.871,0.0128584,20889.4,3.7221
1699.82,1569.57,1.09284,0.0411871,0.116442,3.9867e-07,124.98,0.0133449,22675.4,3.62235
1645.55,1616.37,1.10312,0.00302718,0.092558,2.33203e-07,126.13,0.0184432,29464.1,3.73534
1624.23,1627.29,1.06025,0.000758317,0.117603,2.88598e-07,125.318,0.0144863,18585.7,3.76418
1586.75,1654.31,1.0446,0.000482452,0.0883475,2.77868e-07,126.336,0.0131769,23409.4,3.44354
1560.89,1695.94,1.06136,0.00234806,0.0957848,3.31156e-07,124.393,0.014254,28429.3,2.51285
1517.17,1697.39,1.06024,0.00796232,0.140835,4.69593e-07,120.894,0.0124313,22868,2.44147
1480.16,1732.94,1.04372,0.0430831,0.00770596,5.43796e-09,111.032,0.0141138,20140.6,3.06119
1439.38,1762.28,1.04085,0.121573,0.0195678,3.20731e-08,107.054,0.0157039,25465.5,3.36707
1404.12,1802.49,1.03073,0.0822467,0.00913378,1.23152e-08,101.755,0.0127513,29181.1,2.99206
1418.52,1848.88,1.03799,0.13815,0.0105742,4.46631e-08,97.8346,0.0132054,25904.6,2.28223
1431.09,1908.17,1.03722,0.0947425,0.00309973,2.01719e-07,90.6952,0.0197682,29025.9,2.4466
1429.02,1926.77,1.00353,0.0572921,0.00785631,3.15991e-08,88.2392,0.0152708,26812.4,3.44438
1462.16,1963.8,0.994222,0.109776,0.00123603,1.3061e-07,87.5035,0.0156021,27262.4,3.79949
1475.49,2009.37,0.972668,0.104212,0.00112702,2.3582e-07,87.4843,0.0133081,30926.6,3.72606
1492.64,2033.57,0.961328,0.0899917,0.00289566,2.49112e-07,88.5666,0.0128928,29537.6,3.57498
1500.92,2038.7,0.975698,0.0658145,8.73038e-05,4.33705e-08,88.5562,0.0134585,29549.2,3.61437
1511.14,2095.33,0.973927,0.0710354,0.00359179,5.46381e-09,87.7038,0.0131878,34845.2,3.82201
1514.22,2107.78,0.970687,0.080558,4.19646e-05,1.5425e-08,90.1325,0.0117685,33626.1,3.29689
1536.35,2133.14,0.977485,0.0339653,0.00668593,3.54554e-08,94.7882,0.0123775,33716.5,3.6331
1567.64,2163.73,1.01254,0.0336319,0.0110588,7.26214e-08,105.872,0.00962584,32688.6,3.82585
1553.73,2194.69,1.00779,0.0130332,0.00953319,2.96746e-08,108.697,0.0101193,34046.4,3.80541
1549.42,2201.13,1.02952,0.0100346,0.00233491,5.48244e-09,109.758,0.0115948,37442.1,3.83246
1528.31,2252.37,1.03638,0.00803484,0.00696793,3.37969e-11,108.077,0.0123364,36428.8,3.5761
1501.99,2276.38,1.03304,0.0190771,0.00960031,1.11378e-07,108.296,0.0115018,34957,3.54872
1484.14,2327.55,1.05295,0.015424,0.0073529,1.72283e-07,111.678,0.0119275,34176.6,3.26173
1485.21,2366.89,1.06891,0.0342854,0.00769723,2.62825e-07,110.863,0.0125572,36392.3,3.02788
1439.2,2399.9,1.07308,0.0110103,0.00603833,1.55185e-07,111.693,0.0110492,35139.1,2.28905
1414.06,2429.69,1.0862,0.0390128,0.0214343,9.83973e-08,110.099,0.0147344,36729.1,2.27195
1392.88,2469.59,1.08584,0.00381287,0.0170521,3.25648e-08,105.963,0.0157491,36760.3,3.06079
1344.84,2488.65,1.092,0.00252807,0.129557,1.33988e-07,100.123,0.0197954,32204.2,3.57357
1346.24,2491.8,1.08897,0.00502154,0.0758524,9.23968e-08,96.3348,0.082638,30041.2,3.79584
1341.75,2496.01,1.08338,0.00188653,0.0445217,8.44851e-08,89.2131,0.0879494,25402.1,3.49929
1341.04,2497.78,1.08732,6.81183e-05,0.0422451,1.27435e-07,89.6166,0.11048,30009.9,3.64648
1350.92,2539.47,1.11113,0.00305397,0.0246975,9.19081e-08,83.4193,0.0752908,30484,3.75457
1367.57,2605.44,1.10967,0.0265026,0.0208158,9.61694e-08,75.3082,0.0445607,28272.4,3.84094
1357.64,2627.53,1.11083,0.0464848,0.00166587,1.66588e-07,71.2411,0.0336759,27689.6,3.84272
1379.18,2693.34,1.12868,0.0179075,0.0539961,3.01361e-07,71.8271,0.0241523,26596,3.59723
1386.62,2759.23,1.13275,0.0238472,0.0697734,4.72681e-07,69.0596,0.0161715,29375.5,3.53963
1368,2806.32,1.12922,0.0341763,0.0926675,3.17883e-07,65.9845,0.0169963,30662.3,3.5694
1403.72,2858.54,1.16287,0.111367,0.226794,6.12151e-07,62.7065,0.012407,28871.6,3.66929
1431.33,2931.65,1.1507,0.0741509,0.168364,3.88558e-07,59.236,0.0122492,28572.7,3.72117
1440.95,2988.09,1.16293,0.0514701,0.096436,2.81288e-07,58.7204,0.0117426,30521.3,3.8644
1464.33,3046.83,1.17254,0.00326051,0.0112921,3.97412e-10,58.059,0.0128341,30912.2,3.88279
1512.83,3074.62,1.17942,0.0172063,0.029063,5.18246e-09,59.2909,0.0139412,33926.3,3.92813
1542.38,3097.3,1.17138,0.00660197,0.0185692,3.37079e-08,55.7878,0.0149781,32567.8,3.72096
1563.99,3172.99,1.18042,0.0471468,0.104691,7.10975e-09,53.6762,0.0158339,34008.5,3.66474
1576.83,3183.46,1.176,0.027129,0.0316205,2.60194e-08,53.74,0.0204391,33398.7,3.56131
1616.21,3244.35,1.21295,0.051735,0.114273,8.95688e-09,54.0132,0.0249171,25830.9,3.71822
1649.39,3275.49,1.20734,0.0851826,0.155884,3.84044e-09,54.1921,0.0316271,28466.5,3.79625
1725.47,3300.01,1.19795,0.0385396,0.121808,2.50095e-08,51.1125,0.0260857,28196.5,3.76098
