meanPX222 meanPY  meanPZ varPX varPY varPZ meanAngle angleStdev NEFF elapsedTime
2390.68 2409.18 0.842231 1.8991 2.82506 1.17761e-06 -112.369 5.06395 9762.36 2.9408
2405.43 2349.48 0.840614 2.15283 2.90589 1.11501e-06 -94.9199 4.28868 11922.5 2.66853
2438.49 2290.54 0.839041 0.718926 0.855654 3.16371e-07 -86.8798 4.02986 12505 2.5201
2495.72 2296.39 0.842719 4.059 3.74305 3.95481e-08 -45.254 3.70416 16773.5 2.68263
2673.74 2157.98 0.836932 0.186169 0.657073 5.55892e-08 -29.2516 3.39964 15658.2 2.55113
2736.22 2134.36 0.837326 0.13762 0.864613 6.83264e-08 1.39448 2.62396 19924.3 2.59803
2906.51 2073.29 0.8253 0.177229 21.7482 1.62061e-07 -4.75414 3.08905 25471.1 2.70949
2877.89 2057.36 0.832844 49.3311 16.7696 1.57251e-07 -12.4258 2.23763 25655.9 2.56013
2989.18 2065.26 0.825627 5.16374 0.829348 9.9796e-08 -13.5915 1.82543 25224 2.27006
2990.77 2064.17 0.824062 3.61907 0.756707 5.84108e-08 -3.57634 1.40947 26385 2.24631
2975.5 2088.99 0.840628 3.03505 0.766879 3.2765e-08 -6.12462 1.04846 18999 2.43233
2950.83 2099.26 0.84773 4.86362 22.7534 1.08618e-07 -13.8639 0.757071 25274 2.42356
3013.09 2120.53 0.841524 1.48768 0.000413345 1.0885e-07 -17.6064 0.751149 23286.8 2.38853
2994.05 2155.99 0.856156 1.89757 0.01001 2.54029e-08 -23.8411 0.417738 27903.8 2.4143
3003.35 2174.49 0.868209 1.63424 0.0186833 5.24432e-10 -32.5064 0.420262 27696.7 2.44502
3070.44 2167.36 0.869158 1.08212 0.0114033 1.65902e-09 -46.3889 0.480479 29134.8 2.44373
3104.79 2133.91 0.863077 1.66279 0.0158372 6.10782e-12 -57.6369 0.458337 32988.5 2.28697
3105.06 2122.66 0.864611 2.33288 0.026778 4.09705e-09 -57.0989 0.437186 33421.4 2.38255
3122.22 2118.71 0.875467 1.83519 0.0684932 7.33979e-10 -63.5888 0.309628 32798.3 2.34144
3148.94 2078.28 0.873898 1.10719 0.0133513 8.5365e-08 -74.0999 0.360718 33833.7 2.30574
3142.36 2035.96 0.882146 3.11912 0.0484955 2.93135e-07 -78.8692 0.357389 32626.8 2.46897
3140.75 2014.6 0.897431 2.89294 0.0938302 1.60745e-07 -79.7945 0.18236 34311.6 2.45276
3169.52 1953.82 0.909289 1.81887 0.0575871 1.42423e-07 -84.4595 0.230702 29610.3 2.28866
3172.43 1910.09 0.921217 2.39419 0.0947782 8.29447e-08 -91.5132 0.215869 26767.5 2.32784
3176.36 1842.18 0.946419 0.738747 0.0356835 6.67669e-09 -94.1513 0.092303 27997.4 2.16707
3156.1 1797.52 0.95688 0.742517 0.0224116 9.63209e-09 -96.4486 0.170601 30156.7 2.2986
3132.15 1723.78 0.977057 1.80142 0.0390373 2.30592e-08 -101.768 0.0374696 22810.9 2.37558
3115.72 1653.8 0.982186 3.20343 0.0470491 3.36591e-08 -106.228 0.0160931 24391 2.36693
3103.66 1586.56 0.98403 2.76626 0.0165141 5.3044e-08 -112.409 0.0124656 30734.1 2.55027
3093.95 1537.8 0.981579 0.000663466 0.0460382 3.65356e-07 -114.171 0.010555 28586.6 2.47366
3072.43 1482.69 0.985338 0.00769026 0.00993403 1.24703e-08 -119.294 0.011172 30803.9 2.46638
3057.42 1420.36 0.997064 0.00339191 0.0322466 3.03487e-08 -124.82 0.0102157 33188.8 2.52053
3040.98 1340.67 1.01026 2.21308e-06 0.0563055 4.78626e-08 -135.032 0.0133311 36523 2.68126
3008.86 1285.55 1.01223 0.000319071 0.104702 5.11291e-08 -144.79 0.0146493 32413.9 2.89371
2987.86 1239.61 1.00695 0.00268308 0.0412789 5.19439e-07 -151.36 0.0168231 34476.5 2.82785
2913.2 1205.88 1.03609 0.00744052 0.0178369 2.34022e-07 -152.35 0.0156344 26468.7 2.70663
2909.43 1206.27 1.03584 0.0171785 1.92522e-05 3.31952e-09 -143.707 0.0646173 22873.4 2.93221
2853.91 1158.83 1.05332 0.0285637 0.00150068 1.62299e-09 -152.946 0.0564709 27770.1 2.83116
2854.54 1152.61 1.05844 0.00479447 0.000991755 2.66919e-09 -151.394 0.162334 27223.9 2.60317
2817.4 1133.99 1.06186 0.00131958 0.199225 7.74179e-08 -163.688 0.110749 26027 2.61274
2783.1 1136.92 1.06107 2.46667e-05 0.273951 6.57893e-08 -160.108 0.127282 30248.6 2.59062
2717.23 1129.43 1.08734 0.0218307 0.00110322 1.58929e-08 -163.638 0.0849332 29156.9 2.74198
2627.42 1137.04 1.09162 0.0962212 0.0348677 6.20382e-08 -168.382 0.0713732 27785.3 2.92657
2582.32 1171.41 1.11715 0.0612729 0.0871852 2.87068e-08 -171.386 0.0534158 25118.3 2.88419
