meanPX meanPY meanPZ varPX varPY varPZ meanAngle angleStdev NEFF elapsedTime
2340.4 2430.33 1.38395 8.2851 224.923 4.18931e-06 -88.196 2.82592 745.373 1.66593
2435.6 2357.31 1.29985 0.397123 21.6195 8.47382e-07 -86.8374 2.1204 10605.9 2.19244
2391.73 2376.72 1.19955 0.522336 18.0278 1.15134e-06 -76.8235 2.01986 14622.3 2.37521
2543.06 2369.83 1.17005 16.6674 0.0692902 6.45367e-07 -69.94 1.54355 16738 1.69419
2753.3 2292.69 1.18485 11.6913 0.0182164 8.47502e-07 -63.5662 1.07518 18118.8 2.24631
2693.39 2323.22 1.11268 8.41069 0.0686813 2.30299e-07 -62.3294 1.09281 23883.4 2.48879
2965.98 2223.19 1.10775 5.78471 0.00492325 2.79954e-07 -57.7393 0.697678 21621.4 3.52607
3002.9 2137.29 1.14253 4.01292 0.00387003 1.89585e-07 -61.2491 0.75756 30204.1 3.33243
3029.68 2101.11 1.20572 6.36945 0.00283113 5.01758e-07 -67.9158 0.589999 26805.6 3.63848
3087.67 2042.61 1.22845 6.36795 0.0696778 4.69303e-07 -65.229 0.463245 27927.6 3.20547
3026.32 2064.4 1.18841 9.06381 0.00265122 2.34678e-07 -59.8104 0.425855 21771.3 2.98981
3087.72 2007.11 1.16134 47.2102 5.67555 5.34127e-06 -57.6504 0.371001 23592.8 2.98513
2995.67 2121.26 1.02401 66.2839 5.78223 5.30498e-06 -53.0097 0.384698 14663 2.84359
3012.62 2144.52 0.934033 18.1581 1.26903 7.49417e-07 -51.864 0.217803 15476.7 2.54591
3057.72 2145.96 0.915927 0.226489 37.9433 3.46039e-06 -54.8246 0.128674 21391.5 2.35852
3118.54 2148.15 0.879714 0.00754316 16.7857 1.50427e-06 -64.5768 0.0724558 22741 2.89431
3159.63 2102.05 0.888829 0.027518 24.1877 2.17509e-06 -74.5465 0.0630316 30346.2 2.82604
3139.12 2098.69 0.85472 8.999 1.72985 3.09968e-07 -73.212 0.0630261 33600.7 3.05895
3151.6 2076.24 0.854631 0.0136955 0.150296 1.70378e-06 -82.009 0.0593991 33125.5 3.40511
3171.9 2014.99 0.854466 0.0118226 0.113455 1.16961e-06 -91.9219 0.0436134 31989.6 3.03276
3157.92 1990.91 0.86329 0.117456 0.00236086 2.04426e-06 -91.7212 0.0372475 33644.2 3.1494
3143.99 1959.94 0.865087 0.0111845 0.0253204 8.41461e-07 -94.3273 0.0386589 34579.3 3.08235
3136.96 1914.14 0.876108 0.04387 0.189805 2.93793e-06 -99.2552 0.039695 31378.7 3.3229
3108.56 2034.52 0.843733 77.29 86.3285 5.59976e-07 -99.0654 0.104956 29975.8 3.42431
3085.06 2017.65 0.834239 83.3969 93.8616 4.00888e-07 -101.761 0.15008 30121.5 3.22393
3099.1 1856.93 0.894741 117.445 147.097 1.02569e-06 -104.239 0.124157 26999.5 3.12863
3052.59 1981.29 0.863354 83.0573 95.4195 5.19627e-07 -110.708 0.434472 25140.7 3.33767
3084.95 1754.09 0.896751 91.8228 123.161 6.28126e-07 -113.415 0.210578 24613.8 3.35882
3066.4 1716.42 0.91409 126.941 175.655 1.01144e-06 -118.069 0.253098 26850.6 3.16596
3041.02 1714.22 0.904063 78.298 110.143 6.15037e-07 -121.858 0.303484 30945.6 3.05999
3054.41 1544.79 0.915726 18.4622 28.996 1.20443e-07 -125.509 0.131799 26362.5 2.7737
3032.47 1481.85 0.937094 50.112 82.7092 2.96483e-07 -131.788 0.125043 31659.6 2.86651
3029.71 1326.2 0.961981 0.0170084 0.0724398 2.07616e-07 -141.383 0.0266553 28237 2.38898
3005.28 1275.26 0.957168 0.0173614 0.0745541 1.11695e-07 -147.403 0.024325 30325.4 2.32857
2977.5 1225.77 0.95808 0.0348479 0.106139 1.54199e-07 -154.847 0.0159076 31587.2 2.90204
2918.9 1205.85 0.962165 0.0628965 0.0834802 1.17903e-07 -152.112 0.0209164 31182.7 3.09133
2907.03 1200.47 0.973584 0.10267 0.026675 1.28263e-07 -151.931 0.0847591 26239.6 3.26039
2849.57 1166.3 0.977732 0.119309 0.0591577 2.30151e-07 -156.349 0.0549784 21453.7 3.38976
