meanPX meanPY meanPZ varPX varPY varPZ meanAngle angleStdev NEFF elapsedTime
2373.84 2294.78 0.869262 9.31286 23.7776 9.96514e-08 -93.5131 3.69679 4487.67 3.33909
2373.65 2259.46 0.869025 2.12164 4.92903 6.95633e-09 -66.4616 3.48929 10620.5 3.19359
2343.84 2234.34 0.867305 1.03409 2.93609 2.74785e-09 -55.43 3.8068 17033.1 3.12167
2379.02 2236.81 0.863947 2.45702 5.29439 7.75073e-10 -21.3842 3.4041 18615.7 3.26359
2416.14 2261.48 0.857521 0.587459 0.107241 2.99451e-08 -25.8169 2.64158 21338.7 3.2497
2510.42 2237.86 0.857859 0.370418 0.172585 1.85652e-08 -22.1842 2.07032 23986.4 3.30553
2528.17 2298.14 0.859756 8.76331 1.95347 2.64653e-07 -13.3769 2.01343 25707.6 3.26446
2544.96 2356.91 0.857736 2.97683 0.410771 7.68626e-08 -6.0989 1.83369 24295.3 3.06221
2508.84 2337.68 0.848908 0.85056 1.79619 2.23802e-08 -2.1052 1.44986 26929.9 3.41305
2606.38 2378.06 0.8552 2.33786 0.019458 2.26523e-10 -0.754082 1.71517 29672.7 3.34224
2580.84 2321.85 0.848322 6.80538 0.148747 4.60156e-09 -2.57287 1.14836 28594.4 3.24545
2770.17 2232.6 0.855918 1.65017 0.216112 9.27641e-11 -23.0685 0.675466 19282.8 3.31141
2705.75 2276.52 0.849227 4.23383 0.266403 4.47896e-10 -20.851 0.898358 24911.6 3.21256
2851.44 2202.71 0.847246 3.4093 0.091004 7.5872e-09 -37.1378 0.437136 24050.3 2.9836
2966.34 2162.82 0.852499 1.03543 0.00861781 1.59051e-08 -51.82 0.228998 22555.8 2.98836
3079.25 2125.61 0.852901 1.06534 0.00144989 5.1286e-08 -65.7506 0.120164 25401.9 2.50015
3123.24 2080.2 0.846213 0.515795 0.000121214 1.49045e-08 -73.1115 0.0672309 29050.5 2.17847
3117.52 2068.06 0.840298 0.421842 0.000204806 9.10445e-09 -72.5467 0.0363694 28147.6 2.61879
3132.06 2038.14 0.844914 0.241404 0.000850628 2.84574e-11 -81.3145 0.0224569 29614.2 2.96659
3147.25 1989.82 0.85318 1.79988 7.90285e-05 6.05887e-09 -90.5439 0.0208504 32913.8 3.13061
3130.54 1960.51 0.86356 0.991816 0.000892888 1.77862e-09 -92.091 0.0161086 32085.9 2.60282
3128.68 1927.53 0.858566 3.55802 7.48626 2.66518e-09 -94.0658 0.0140883 33498 2.24025
3116.56 1880.56 0.848374 0.00281314 0.0240377 1.54257e-07 -97.8884 0.0127246 33584.8 2.27779
3110.31 1842.12 0.855861 0.000995378 0.00801571 2.89946e-07 -102.025 0.0150947 37917.3 2.69185
3103.58 1786.02 0.861958 0.00172875 5.45529e-06 2.83328e-07 -105.265 0.0127068 32728 3.29808
3093.84 1742.87 0.860527 0.0447977 0.0293447 4.59673e-07 -105.64 0.0106904 32861.9 3.2821
3096.46 1687.42 0.86888 0.0340773 0.0268482 2.37758e-07 -109.24 0.0102958 31647.4 3.33835
3086.75 1632.87 0.864395 0.0228443 0.0442297 1.27318e-07 -113.419 0.00995423 33869.1 3.08202
3077.41 1575.78 0.864247 0.0259529 0.0489118 7.82623e-08 -117.761 0.00940621 32633.5 3.24326
3071.38 1526.05 0.876641 0.0345622 1.97083e-05 3.11989e-08 -120.829 0.00875618 31935.7 3.32671
3053.75 1484.7 0.873794 0.0397605 0.000276673 4.77125e-09 -126.555 0.0093518 33367.3 3.44508
3029.6 1423.94 0.893449 0.0380791 0.0021676 1.72354e-11 -132.359 0.0104035 32386.2 3.37404
3018.05 1346.2 0.913774 0.0686914 0.0144185 2.328e-08 -139.845 0.0109293 28632.5 3.22308
3001.23 1295.45 0.917837 0.0526883 0.00502624 8.08484e-09 -146.564 0.0121147 28749.4 3.38345
