meanPX meanPY meanPZ varPX varPY varPZ meanAngle angleStdev NEFF elapsedTime
2303.97 2460.8 0.133407 0.813084 1.93022 1.1912e-09 -54.9238 10.5747 10121 3.07081
2178.66 2558.62 0.131107 0.211384 1.10821 1.64154e-10 -33.0289 10.3565 11172.3 3.00619
2115.38 2733.85 0.129674 0.0507589 0.154276 2.23526e-09 108.429 10.954 13291.6 2.92968
2057.13 2967.82 0.135414 0.000540682 0.0844811 1.47352e-12 -140.797 7.89558 14717 2.93601
2119.77 3103.94 0.142058 4.02681 0.124946 4.01503e-09 -132.357 6.48098 19717.2 3.28156
2126.92 3299.79 0.145289 10.0378 5.81307 6.48832e-08 -125.121 5.27141 19772.5 2.86861
2228.73 3318.33 0.161379 21.1568 0.924799 8.46973e-08 -126.597 4.57048 20084.7 2.63555
2305.69 3449.05 0.164308 25.1754 2.34531 1.34381e-07 -117.571 4.68036 27087 2.10525
2303.44 3504.86 0.165668 19.7363 2.48286 1.2187e-07 -106.946 4.39611 30041.6 2.437
2367.72 3564.03 0.176133 10.0934 1.30072 4.377e-09 -98.0647 4.37232 27991.3 2.94513
2366.7 3601.68 0.167688 25.4547 4.27576 3.75085e-08 -74.8644 4.15024 33302.7 3.03033
2363.73 3696.5 0.165819 9.73519 2.44969 1.1057e-09 -71.7952 4.00971 30856.5 2.97656
2385.15 3691.53 0.165401 14.6788 3.09863 4.7366e-08 -47.2324 3.41818 29035.6 2.71686
2465.57 3725.69 0.161159 30.4561 6.35112 9.4979e-08 -42.8379 3.07947 30141.5 2.03869
2551.24 3733.85 0.158006 18.1224 3.46042 8.57909e-08 -64.4038 3.28604 32557.5 2.35086
2655.16 3762.84 0.161913 34.6861 6.35466 1.53688e-07 -78.795 3.59388 29200.8 2.87323
2642.53 3798.54 0.164626 0.339857 4.84748 3.06577e-08 -57.7192 2.43986 29885.4 2.96185
2722.95 3862.93 0.170413 0.0498737 2.81518 1.5326e-08 -58.7317 2.53982 33750.5 2.755
2723.67 3858.35 0.175661 0.0341869 3.50997 4.46005e-09 -59.724 1.81134 32509 2.17447
2772.34 3907.53 0.187015 0.00276245 3.84185 2.35171e-08 -65.0944 1.89374 31137.3 2.23271
2819.44 3949.19 0.194673 0.0876597 2.27375 2.82347e-08 -67.4628 1.91498 30453.7 2.61536
2931.77 3989.83 0.200647 0.313767 1.02948 1.10216e-08 -78.9465 2.86017 28080 2.8856
2923.5 3989.27 0.216879 0.129148 0.045283 1.12458e-09 -81.7426 2.45293 24722.9 2.77509
2866.84 3942.74 0.224083 7.75354 2.41023 3.68488e-12 -77.9763 1.90637 32731.1 2.73354
2822.19 3903.24 0.228506 12.2554 4.51884 1.08679e-09 -79.3473 1.57669 33411.4 2.88004
2819.63 3906.31 0.242367 5.61224 2.29231 2.04437e-09 -80.3701 1.54373 32008.8 3.13518
2826.04 3858.74 0.244745 7.32409 4.03338 1.35431e-08 -87.2664 1.78429 30868.9 2.83104
2805.82 3801.61 0.256672 9.37106 6.70191 5.64835e-10 -94.7775 1.98933 24031.6 2.762
2596.54 3598.91 0.261041 13.9764 9.22523 1.0092e-07 -103.36 1.45687 21047.3 2.44479
2311.06 3506.92 0.257273 20.0337 10.32 4.60376e-08 -134.459 1.73619 15974.8 2.51908
2489.53 3366.81 0.268872 28.2186 27.2116 1.55573e-07 -113.533 1.28322 24026.1 2.50313
2293.47 2661.32 0.279409 24.5354 47.051 1.78122e-07 -135.398 1.04399 18817.8 2.54812
2270.87 2419.61 0.281 7.68288 18.782 1.3419e-08 -149.494 1.00427 22117.8 2.75373
1974.86 1263.98 0.26501 24.1107 96.7725 2.37931e-09 160.416 0.532511 12714.2 2.80125
1966 1254.26 0.261285 24.8821 105.988 2.96759e-08 156.65 0.539753 22243.9 3.13959
1847.02 754.32 0.260168 44.2315 212.064 4.67378e-09 146.743 0.223513 22492.8 2.91677
1903.34 1039.82 0.271764 40.5006 170.771 1.62701e-07 155.099 0.48699 24282.6 2.91526
1796.21 675.223 0.280153 70.0868 327.624 6.09475e-07 138.433 0.230571 22234.2 2.62893
1796.5 675.824 0.272936 52.481 247.678 3.15633e-07 140.164 0.283879 23436.4 2.26998
1818.28 827.061 0.264644 133.837 601.469 5.75943e-07 138.86 0.381141 21554.3 2.30298
1865.48 1075.54 0.268778 56.118 232.985 3.82383e-07 147.178 0.586735 22577.6 2.75673
1831.56 979.849 0.278927 34.4992 144.976 1.88388e-07 138.287 0.504895 26349.1 2.9794
1901.48 1324.33 0.266716 56.0723 203.852 3.46221e-08 152.445 0.855601 27024.7 3.11075
1972.3 1628.4 0.274499 57.0713 182.721 3.32389e-08 165.336 1.14963 27390.6 2.74405
2016.81 1839.37 0.274404 35.6232 101.457 2.53496e-08 179.893 1.26035 24924.8 2.69193
2047.79 1993.26 0.289178 70.4215 180.665 4.13869e-08 -169.919 1.45714 22754.1 2.27779
2223.42 2616.42 0.271038 43.6552 81.8194 2.81623e-08 -127.536 1.14777 19177.5 2.47979
2162.76 2415.27 0.271007 5.91178 12.3727 9.48966e-09 -136.469 1.36117 26667 2.40721
