meanPX meanPY meanPZ varPX varPY varPZ meanAngle angleStdev NEFF elapsedTime
2383.75 2300.24 0.882456 0.282834 0.734617 1.22276e-08 -108.976 3.41256 3278.97 3.35358
2376.09 2243.95 0.880204 8.60234 21.9805 3.20651e-08 -80.5835 3.49968 10691.1 3.66345
2347.46 2205.34 0.875549 3.32991 9.82771 9.12531e-10 -74.069 3.46485 14670.5 3.34569
2373.8 2214.76 0.867757 3.50442 7.5156 1.32859e-09 -44.3686 3.02946 19274.3 3.42998
2468.15 2222.81 0.867299 1.58911 1.96528 6.24051e-09 -38.0868 2.55139 22154.2 3.41943
2339.06 2243.1 0.85898 6.15468 2.76308 1.52558e-09 -19.1072 2.15105 23395.2 3.52259
2473.32 2237.24 0.848176 17.3619 5.52408 6.66804e-09 -14.7893 1.47587 24693.8 3.4284
2386.03 2253.51 0.846052 0.636388 2.34801 2.93195e-09 2.71875 1.22698 25745.8 3.44544
2414.45 2242.68 0.842903 1.14097 5.04491 5.45205e-09 -1.40079 1.0945 28228.4 3.5556
2393.09 2243.96 0.84237 0.549087 3.44945 6.18047e-14 9.41053 0.772209 27537.2 3.31125
2526.08 2209.25 0.847289 8.71328 0.452904 2.97584e-08 -2.86693 0.595542 24846.8 3.30975
2518.54 2223.18 0.854449 8.10501 0.520458 7.37075e-09 -1.66247 0.535117 27290.3 3.57729
2563.6 2229.16 0.844556 4.81442 0.283716 7.46019e-08 -5.64887 0.532346 29045.9 3.58925
2708.11 2216.52 0.835779 10.1728 0.891217 2.63462e-07 -24.3487 0.482238 25843.8 3.68089
2786.8 2217.83 0.844833 2.82181 0.583186 2.32124e-08 -35.0837 0.37314 28316 3.5018
3014.93 2157 0.859769 1.85578 0.884874 4.47376e-08 -56.0227 0.18771 22405.1 3.37424
3112.37 2096.92 0.855211 0.944425 0.162947 1.15811e-07 -67.8052 0.122031 25856.8 3.1338
3122.67 2067.59 0.858665 1.0129 0.0273706 2.69757e-09 -70.4769 0.0707262 27322.2 3.09354
3148.17 2035.39 0.883842 0.442218 0.122533 1.21068e-07 -79.7969 0.0481724 28059.9 3.58469
3161.77 1984.41 0.876028 0.547056 0.158772 1.36108e-07 -91.5178 0.0408293 28979.9 3.35665
3149.02 1956.71 0.890885 0.340962 0.140431 1.40903e-07 -91.3756 0.025288 31867.5 3.25885
3137.61 1918.03 0.889648 0.54048 0.214327 3.06462e-07 -94.6203 0.0209314 32955.7 3.52086
3130.88 1869.61 0.874955 0.256221 0.182821 1.10052e-07 -99.0103 0.0158186 32492.5 3.54654
3128.72 1830.74 0.880093 0.25395 0.208695 6.13043e-08 -102.458 0.0149836 34575.5 3.68102
3113.02 1774.19 0.892282 0.0567489 0.0633458 6.64937e-09 -104.298 0.0107468 30986.6 3.74457
3110.19 1723.64 0.897532 0.0721486 0.0935009 3.46258e-08 -106.647 0.0102397 32829.6 3.64203
3111 1668.18 0.894688 0.0777014 0.156093 7.43548e-08 -109.269 0.010854 30786.9 3.68694
3103.72 1606.95 0.901309 0.0234096 0.00682986 2.72403e-07 -112.114 0.00963467 28510.5 3.58525
3089.93 1552.56 0.898126 0.00983097 0.0086386 2.56408e-07 -117.478 0.010001 34630.6 3.59799
3074.38 1514.06 0.89463 0.00467582 0.0139507 2.93162e-07 -122.01 0.00944014 33825.2 3.63857
3053.79 1454.49 0.910221 0.00155412 0.0408027 7.27098e-07 -127.284 0.0103677 33199.2 3.54163
3033.06 1398.73 0.923188 4.90205e-05 0.0727794 8.68567e-07 -133.26 0.0110803 33249.8 3.43597
3018.33 1322.77 0.940407 0.00119841 0.11585 1.16005e-06 -141.001 0.0131199 30020.1 3.45254
2996.97 1267.62 0.936362 0.00917794 0.204969 1.27672e-06 -148.513 0.0141949 27198.3 3.47664
2965.38 1236.01 0.923954 0.0110579 0.130096 5.69639e-07 -155.365 0.0151221 27088.6 3.43975
2905.26 1218.52 0.924535 0.0257321 0.100627 6.55443e-07 -153.727 0.0163167 25921.9 3.66099
2894.46 1218.38 0.923576 0.0970756 0.205306 1.26748e-06 -147.207 0.0664816 19692 3.77201
2833.12 1184.44 0.933136 0.0530823 0.06273 2.48302e-07 -156.096 0.0379209 16046.7 3.50053
2831.11 1187.33 0.926528 0.355936 0.281744 9.18157e-07 -160.38 0.0758494 18387.1 3.54864
2795.89 1170.1 0.920796 0.275692 0.133005 4.42485e-07 -166.033 0.0632603 21694.1 3.41057
2764.3 1174.88 0.904883 0.232403 0.0820301 3.65299e-07 -165.42 0.0405249 21294.7 3.43972
2716.8 1162.55 0.928187 1.46645 0.542156 6.2477e-08 -165.571 0.0239398 23776 3.49396
2639.83 1146.09 0.930714 1.89839 0.75533 3.76362e-08 -164.682 0.0177997 22890 3.26796
2603.2 1159.48 0.940913 2.71705 1.56633 3.82411e-08 -166.647 0.0148517 23708.9 3.32371
2534.8 1148.64 0.963206 3.56087 2.05788 3.60612e-08 -168.569 0.0205067 25544.2 3.38114
2473.27 1177.24 0.976229 1.23842 0.939694 2.90507e-08 -173.54 0.0121253 12093.8 3.61571
2460.81 1172 1.00503 0.0245068 0.154658 2.34353e-09 177.895 0.0757689 15250 3.4442
2395.71 1181.32 1.02287 0.0271207 0.165223 2.37362e-11 174.914 0.0457537 20141.9 3.28452
2308.2 1184.4 1.05494 0.0200081 0.0436863 1.05884e-09 171.237 0.0329147 21761 3.73302
2255.47 1172.46 1.07425 0.047063 0.0307292 1.06596e-09 167.252 0.0338263 21982.8 3.50254
2180.33 1143.78 1.07662 0.0904107 0.0126813 2.89777e-09 155.046 0.0277362 23957.9 3.49795
2123.11 1124.58 1.08589 0.174572 0.0241266 5.09604e-09 147.192 0.0149021 21027.2 3.6257
2053.37 1141.21 1.10128 0.182662 0.019947 1.9378e-09 137.015 0.0119768 28297.9 3.50559
2037.89 1160.1 1.09434 0.235107 0.0171088 2.2768e-09 136.141 0.0115348 31125.1 3.42311
1979.74 1224.49 1.10916 0.00180395 0.00274669 4.96562e-07 131.044 0.00788809 28646.2 3.50162
1954.15 1240.43 1.09396 0.000471697 0.00773839 5.58674e-07 130.814 0.00744005 25334.1 3.46315
1907.02 1278.47 1.10868 0.00497996 0.00672024 2.36281e-07 125.304 0.0100087 29648.5 3.31382
1901.8 1307.71 1.10087 0.00032572 0.002164 2.02161e-07 124.42 0.00716845 27750.6 3.25469
1879.84 1380.73 1.1054 0.000422973 0.000549151 7.54131e-08 123.67 0.00722646 24853.5 3.34107
1860.02 1412.34 1.08912 0.00649136 0.00120656 6.98946e-08 125.283 0.00756248 23257.7 3.21973
1823.35 1491.55 1.10207 0.0116631 3.26421e-05 5.43054e-09 121.934 0.0100874 26945.1 3.33108
1780.24 1500.65 1.06707 0.00923479 0.000188652 2.03096e-08 123.996 0.00921233 23769.9 3.47081
1719.21 1538.18 1.08005 0.00215707 3.73327e-07 7.31904e-09 126.252 0.0092011 30188.7 3.44958
