meanPX222 meanPY  meanPZ varPX varPY varPZ meanAngle angleStdev NEFF elapsedTime
2395.46 2387.56 0.844441 4.40439 7.77792 6.39652e-08 -88.7564 5.18376 10168.8 2.93606
2374.84 2352.71 0.843698 2.67087 5.06936 2.22743e-08 -94.561 4.52116 12106.3 2.58297
2402.47 2308.88 0.843875 1.15766 1.85724 1.35037e-08 -102.197 5.53914 13942 2.48413
2471.22 2191.99 0.842237 10.183 15.6702 1.15989e-07 17.0059 8.29429 14990.3 2.51282
2606.56 2087.77 0.841382 0.268371 0.587639 2.29934e-08 42.5907 4.80663 17405.4 2.58861
2670.78 2035.62 0.840654 0.244156 9.96595 3.47899e-09 35.7938 3.64448 22142.8 2.65682
2764.85 2010.28 0.837836 0.856517 14.4887 7.09931e-10 45.4022 2.97722 25804 2.38797
2791.17 1945.86 0.835783 0.738842 10.9146 2.01114e-09 6.42642 2.7998 25502.5 2.39527
2888.53 1989.69 0.83622 1.13855 8.68511 8.10528e-10 22.963 2.31918 27590.9 2.60616
2975.47 2056.02 0.833957 5.31261 24.6627 8.40234e-09 4.02268 1.83724 28590.5 2.89404
3000.23 2090.35 0.837667 8.92669 32.9226 1.22762e-09 -4.07254 1.29028 24921.5 2.77113
3002.17 2086.86 0.842527 1.06401 0.0516536 5.01852e-10 -18.9758 0.963003 23472.8 2.54086
3045.74 2108.35 0.842745 1.58892 0.0444682 1.4342e-09 -19.6326 0.811384 24341.8 2.45289
3076.76 2144.39 0.850264 0.922683 0.00505882 4.60319e-09 -25.0507 0.490331 24281.5 2.42587
3083.13 2155.81 0.849948 0.952603 0.00175589 1.13114e-10 -38.8199 0.334933 26659.4 2.44964
3148.18 2163.44 0.859485 1.03566 0.0467258 1.40907e-07 -49.1806 0.244697 29190.2 2.52963
3150.2 2141.31 0.857346 1.57794 0.0226588 1.32296e-07 -58.4319 0.159395 28919.3 2.34892
3160.92 2132.23 0.857595 1.09535 0.0311587 7.82683e-08 -57.1066 0.131456 33318.1 2.36419
3169.1 2116.64 0.860095 0.85847 0.0519586 1.21845e-08 -65.5204 0.11797 30720.1 2.40971
3190.14 2081.94 0.866717 1.13286 0.0903078 2.72361e-08 -75.359 0.0753427 33055.7 2.55694
3191.36 2048.27 0.880481 0.343957 0.165081 4.50925e-08 -76.1271 0.0766348 36201.3 2.6315
3160.55 2015.12 0.88307 0.416346 0.16093 1.94071e-08 -78.8817 0.0483257 34166.5 2.47292
3167.6 1960.5 0.892368 1.42287 0.0208242 3.6982e-09 -83.5654 0.0410435 32693.2 2.39787
3207.68 1913.6 0.905869 1.47651 0.0475755 2.65318e-07 -88.3457 0.0508319 29918.7 2.6722
3188.29 1844.77 0.919551 0.256684 0.00646331 7.77428e-08 -93.1438 0.0392769 29583.8 2.91836
3160.76 1793.31 0.936443 0.775258 0.010156 3.13969e-08 -94.8841 0.0332776 29294.4 2.78482
3137.72 1727.27 0.949875 2.13416 0.0534292 1.14961e-07 -101.04 0.0173282 22692 2.52924
